"category","text_prompt"
"Human_Dialogue","Style: cinematic-realistic, Two men are standing beside a rough wooden fence at twilight on a quiet farm, the last blue light is settling over the field behind them. The camera is holding a medium two-shot at chest height, 50mm lens with shallow depth of field, keeping their faces clear while the barn and pasture are soft in the background. Crickets are humming steadily as one man in a faded work jacket is rubbing his thumb along the fence rail and speaking in a low, steady voice, ""We can fix it."" The other, wearing a canvas coat and knit cap, is shifting his weight and glancing toward the darkening field, then he is exhaling through his nose and answering in a quiet, rough voice, ""By morning."" A loose gate is creaking lightly in the breeze while both men are holding eye contact for a beat, their shoulders easing as the evening air is moving around them."
"Human_Action","Style: cinematic-realistic, At blue hour, a man in a gray hoodie and black running shorts is jogging along a quiet riverside path, his breath is showing faintly in the cool air as his arms are swinging in a steady rhythm. The camera is tracking beside him in a medium shot on an 85mm lens, keeping his full body in frame while distant streetlights are reflecting on the water. His shoes are striking the pavement with soft, even taps as a light wind is moving through nearby trees, then he is slowing near a low railing, bending forward with his hands on his knees while the fabric of his hoodie is rustling. He is straightening, rolling one shoulder, then speaking between breaths in a low, tired voice, ""One more stretch,"" as he is lifting a foot onto the railing and reaching carefully toward his ankle."
"Nature_Landscape","Style: cinematic-realistic, A rough ocean is surging against dark coastal cliffs under hazy morning light, long bands of mist are drifting just above the water as white waves are crashing into the rock face and falling back in sheets. Shot in a wide frame with a 24mm lens, the camera is slowly tilting upward from foaming water in the foreground to the full height of the cliff while gulls are circling in the distance. The low boom of surf is echoing through the cove, then wind is pushing through sparse grass along the cliff edge as spray is hissing across the stone. Meanwhile, a break in the cloud cover is sending a soft shaft of light across the haze, and the sea surface is shifting from dull gray to a faint silver shimmer."
"Human_CloseUp","Style: cinematic-realistic, In a close-up framed with an 85mm lens, a man in his early 40s is sitting beside a rain-dim window under soft side light, his face held in shallow focus while the room behind him is falling away into blur. He is looking out for a beat as muted traffic and a faint radiator hum are drifting through the quiet, then his eyes are shifting toward the glass and his thumb is rubbing slowly along the edge of a ceramic cup just below frame. A distant floorboard is creaking somewhere in the apartment while his jaw is tightening slightly, and he is drawing a measured breath through parted lips. As a drop is sliding down the window, he is lowering his gaze, the reflection catching one eye, while his free hand is reaching to adjust the collar of his dark shirt and then resting there, still."
"Animal","Style: cinematic-realistic, A great egret is standing at the edge of a shallow marsh at sunrise, soft backlight is passing through its white feathers while faint mist is drifting above the water. The camera is observing from a low angle in a steady close wildlife shot, 300mm telephoto lens is compressing the reeds into a muted backdrop. Thin ripples are tapping the bank and distant waterfowl are calling as the egret is lifting one dark leg and is placing it carefully through the shallows. It is holding still, neck loosely folded, then its head is tipping and its bill is aiming down while a light breeze is stirring the grass. As the water is lapping softly, the bird is striking in one quick motion, emerging with a small fish crosswise in its bill, then it is adjusting the catch with a slight shake before swallowing and returning to its patient stance."
"Human_Action","Style: warm documentary, A woman with tied-back hair and flour on her forearms is shaping flat rounds of dough at a small outdoor table beside a garden kitchen in late afternoon moving toward dusk. The camera is holding a steady medium shot with a 35mm lens, then gently tracking closer as she is pressing the dough with both palms, the soft scrape of wood and her quiet exhale blending with crickets beginning in the grass. She is lifting one round, dusting it with flour, then laying it onto a hot pan as a low sizzle is rising immediately. Her face is catching the last natural sunlight, and she is turning the bread with careful fingers, leaning back slightly from the heat while a spoon is clinking against a metal bowl nearby. She is stacking the finished bread in a cloth-lined basket, brushing loose flour from her hands, then looking toward the garden gate with a slight smile."
"Cinematic_Scene","Style: tense thriller, A man in a damp suit is standing alone in a narrow motel bathroom, his knuckles are braced on the sink as a weak overhead light is buzzing softly. In a tight 85mm portrait close-up, the camera is holding on the tremor in his jaw while water is dripping steadily from a rusted tap. He is lifting his head toward the mirror, then the camera is tilting up with him to reveal a second figure standing still in the doorway behind his reflection. The floorboards are creaking faintly as the figure is taking one careful step forward, and the man is drawing a short breath without turning. Meanwhile a distant ice machine is rattling through the wall. The woman speaks in a low, even voice, ""Don't make this harder."" He is reaching slowly into his coat as the hum of the light is filling the silence between them."
"Human_Action","Style: warm documentary, A man in a plain apron is preparing dough at a small kitchen counter, his sleeves are rolled to the forearms and a slight crease is forming between his brows as he is leaning his weight forward. Shot on a 50mm lens, the camera is holding a steady medium tracking move along the counter. He is tipping flour into a metal bowl, the soft pour is whispering against the steel, then he is adding water and folding the mixture together as the spoon is scraping in short circles. While the dough is thickening, he is turning it onto the counter and kneading with both palms, pressing, folding, and turning in a calm sequence as the tacky thuds are mixing with the low hum of a refrigerator nearby. He is pausing to dust the surface, then stretching the dough gently between his hands before setting it down in a round, even shape."
"Urban_Architecture","Style: cinematic-realistic with warm Kodak Portra tones, Mid-morning sun is casting hard shadows across a dense downtown intersection lined with stone facades and glass office towers, and the camera is holding a 28mm wide street-level shot that is framing the crosswalk, the repeating window grids, and a row of buses easing past the curb. Pedestrians are weaving around each other as the signal is changing, their shoes clicking over the bright pavement while a delivery bike is rattling across a utility cover and the low engine hum of waiting cars is filling the gaps between short horn taps. Reflections are sliding across mirrored lobbies as a silver train is gliding over an elevated track in the background, then a taxi is nosing forward into the light while heat shimmer is softening the far end of the avenue and a street vendor’s umbrella is fluttering in the dry breeze."
"Human_Dialogue","Style: cinematic-realistic, In an early morning kitchen, a woman is standing by a small table while a man is leaning against the counter, and the camera is holding a medium close-up on an 85mm portrait lens that is keeping their faces sharp against the soft room behind them. A kettle is humming lightly as she is rubbing her thumb along the rim of a mug and speaking in a low, tight voice, ""We should leave."" He is lifting his chin and glancing toward the window, then answering in a rough, quiet voice, ""Give me a minute,"" while a cabinet door is settling with a faint click. She is shifting her weight and pressing her lips together, and he is pushing off the counter as the floorboards are creaking under his step."
"Human_Action","Style: cinematic-realistic, A young man with short dark hair is jogging along a riverside path at dusk, his gray shirt is clinging lightly to his back while his arms are swinging in an even rhythm. Soft footfalls are tapping against the pavement as distant water is lapping against the bank. The camera is following in a steady medium tracking shot with a 50mm lens, holding his full body as he is glancing ahead, then wiping his brow with the back of his hand while his breathing is growing louder. He is slowing near a wooden bench, rolling his shoulders, then bending to stretch one leg as cyclists are passing behind him with a faint chain rattle. Warm natural sunlight is fading across his face, and he is straightening, drawing a deeper breath, then setting off again with a small nod and a looser stride."
"Stylized","Style: 1940s period noir with high contrast and desaturated Kodak film stock, A man in a dark overcoat is standing under a streetlamp beside a rain-darkened alley, a thin line of smoke is rising from the cigarette between his fingers. The camera is observing him in a medium shot on a 40mm anamorphic lens, then is lifting in a gentle crane up as reflections are trembling across the pavement. He is tilting his hat back slightly and listening, the soft hiss of rain is mixing with distant tires and a muted trumpet drifting from a basement window. Meanwhile a woman is stepping from the shadowed doorway, her coat hem is moving lightly in the draft, and she is stopping just short of the light. She speaks in a low, steady voice, ""You came alone."" He is turning toward her without haste, his shoes are scraping softly on wet concrete while the trumpet phrase is fading into the hum of the sleeping street."
"Human_Action","Style: cinematic-realistic, At dawn, a woman in a dark running jacket and shorts is jogging along a quiet riverside path, her breath is showing faintly in the cool air as pale light is lifting over the water. Shot on a 200mm telephoto lens, the camera is tracking beside her in a steady medium shot, compressing the line of trees behind her. Her arms are swinging close to her sides, her ponytail is flicking against her neck, and her shoes are striking the pavement in a soft, even rhythm while distant birds are calling and fabric is rustling with each stride. She is glancing ahead, then easing her pace as she reaches a wooden bench, one hand resting on her hip while the other is adjusting her sleeve, her chest rising and falling before she is pushing off into a run again."
"Stylized","Style: cyberpunk neon with desaturated shadows, A young courier is moving through a narrow night market on a rain-slick rooftop walkway, a sealed metal case is hanging at her side as she is weaving past hanging tarps and steaming vents. The camera is capturing her in a waist-up tracking shot with a slow steady push-in, 35mm anamorphic lens, while blue and pink signage glow is washing across her face and fog is softening the far skyline. She is pausing at a railing, fingers are tightening around the handle as a delivery drone is buzzing overhead and vendors are calling in muted voices behind plastic curtains. Then she is glancing toward a figure across the gap, his coat is fluttering in the vent noise as he speaks in a calm, filtered voice, ""Leave it there."" Meanwhile, rain is ticking against the metal rail, and she is setting the case down carefully while distant synth bass is pulsing from somewhere below."
"Human_Dialogue","Style: cinematic-realistic, Two coworkers are standing beside a vending machine in a quiet hospital corridor under soft blue neon accent lights, the camera is framing them in a medium two-shot at eye level, anamorphic widescreen lens with gentle background stretch and shallow depth of field. Air vents are humming overhead as one man is rubbing the back of his neck and glancing toward the floor, then he is speaking in a low, tired voice, ""I can cover tonight."" The woman beside him is shifting her weight, her badge is tapping lightly against her scrub top, while distant wheels are rattling along the hall. She is lifting one hand in a small stop gesture, meeting his eyes, then responding in a calm, steady voice, ""You need sleep."" He is letting out a short breath through his nose as the machine gives a soft mechanical click, and she is easing her shoulders down, waiting without moving closer."
"Human_Action","Style: cinematic-realistic, A young baker with tied-back hair and a flour-dusted apron is standing at a wooden counter in a sunlit kitchen, pressing both palms into a round of dough as the faint scrape of flour under her hands is mixing with the low whir of a small fan nearby. The camera is following in a steady medium shot on a 50mm lens, keeping her full body and focused face in frame as she is folding the dough, turning it, then reaching for a bowl of chopped herbs. She is sprinkling them across the surface, rolling the dough into a long shape, while a tray is rattling softly as she is setting it down beside the oven. She is sliding the loaf onto the tray, brushing a little oil over the top, then stepping sideways to open the oven as the hinge is giving a quiet creak and warm light is catching the flour on her sleeves."
"Object_Product","Style: cinematic-realistic, A gold wristwatch is resting on a folded linen cloth near a window at dawn as soft side light is grazing the brushed metal case and catching faint reflections in the curved crystal. The camera is beginning in an extreme close-up on the knurled crown and the fine links of the bracelet, 85mm portrait lens with close-focus detail, then slowly orbiting to reveal the watch face while the quiet ticking is blending with distant morning room tone. As the angle is shifting, tiny dust specks and hairline polish marks are becoming visible on the steel clasp, and the stitched edge of the fabric is sitting in soft focus behind it. Meanwhile a hand is entering carefully from the edge of frame, lifting the watch a few centimeters, and the bracelet is settling with a light metallic clink as the crystal is catching a pale strip of sunrise."
"Nature_Landscape","Style: moody naturalistic, A broad mountain valley is sitting beneath a hazy storm front, heavy clouds are rolling over the ridgeline while a fast river is churning around wet boulders and bending pine trees are swaying along the banks. Shot in an extreme wide shot with a 35mm lens, the camera is holding a slow pan across the valley as curtains of rain are moving from left to right and fog is trailing through the lower slopes. The constant rush of the river is mixing with the soft rattle of wind through needles, then distant thunder is rumbling as loose gravel is skittering near the water's edge. Meanwhile, pale sunlight is briefly breaking through a thinner patch of cloud, catching the rain in the air before the ridge is fading back into muted gray."
"Urban_Architecture","Style: cinematic-realistic, Under a broad concrete bridge, an elevated train is rattling overhead while late afternoon traffic is feeding into a riverside avenue lined with old warehouses converted into apartments. The camera is framing a low-angle 28mm shot from the sidewalk, steel beams and repeating windows are emphasizing the geometry as a delivery truck is easing past and a row of bare trees is wavering in reflections on rain-dark asphalt. A man is standing beneath a recessed entry, coffee steam rising near his face, while two pedestrians are hurrying across the service road and the crosswalk signal is clicking softly through the wash of engines and distant train noise. Meanwhile, warm interior lights are appearing behind tall factory-style panes, then a city bus is gliding into the frame, briefly masking the building fronts before it is pulling away and leaving the wet street to mirror the arches of the bridge above."
"Human_Dialogue","Style: cinematic-realistic, In a quiet hotel lounge with velvet chairs and tall windows, a woman is sitting across from a man at a low marble table as soft diffused afternoon light is falling across their hands. The camera is holding a medium two-shot with an 85mm lens while a faint piano melody and the low clink of glassware are drifting through the room. She is turning a teacup slowly between her fingers, then looking up briefly as she speaks in a low, steady voice, ""I kept the key."" He is leaning back a little, one hand resting near his mouth, then exhaling through his nose as a server is passing in the distance and fabric is rustling softly. He is answering in a quiet, rough voice, ""I know,"" his eyes dropping to the table while she is pressing her thumb along the cup rim and he is giving a small nod."
"Nature_Landscape","Style: cinematic-realistic, Long grass is bending in steady wind across a wide prairie at twilight, while low clouds are drifting under soft diffused light and a line of distant rain is moving along the horizon. The camera is holding a wide shot with a 35mm lens, framing the open field, a shallow creek, and far rolling hills as the water is flickering with pale sky reflections. Crickets are pulsing in the grass while the wind is brushing through seed heads in a dry hiss, then the breeze is strengthening and small ripples are racing across the creek. Meanwhile, a cluster of dark birds is lifting from the reeds and is circling briefly before fading into the dim sky, as the last light is thinning and the rain curtain is slowly spreading across the hills."
"Cinematic_Scene","Style: paranoid thriller, In early morning blue-gray light, a man in a dark overcoat is standing alone at a nearly empty train platform, his gloved hand is tightening around a small envelope as a 200mm telephoto lens is compressing the distant columns behind him into a narrow, watchful frame. A slow dolly forward is drawing closer while a loose metal sign is rattling faintly above and far-off rails are humming under the quiet. He is glancing across the tracks, then lowering his chin as another figure is emerging from the mist at the far end, shoes clicking softly on damp concrete. The camera is holding in a tense medium close-up as the stranger is stopping just short of him and speaks in a low, flat voice, ""You came alone."" For a beat neither is moving, while a train horn is sounding somewhere beyond the station and the envelope is passing from one hand to the other."
"Human_Dialogue","Style: warm documentary, A doctor and a young man are speaking quietly in a hospital corridor at night, the camera is framing them in an over-the-shoulder medium shot with an 85mm lens while ventilation is humming above and a cart wheel is squeaking somewhere down the hall. The doctor is holding a tablet close to her chest, her thumb is tapping its edge as she speaks in a calm, clipped voice, ""Call her now."" He is rubbing the back of his neck and shifting his weight from one foot to the other, eyes fixed on her face before dropping to the floor. Then he is nodding once and replying in a strained, careful voice, ""I will."" As a monitor is beeping faintly behind a closed door, she is lowering her hand in a small guiding gesture, and he is pulling out his phone with stiff fingers."
"Human_Action","Style: warm documentary, A woman is shaping dough at a small bakery counter just after midnight, her apron is dusted with flour and a few loose strands of hair are sticking to her forehead in the humid kitchen. The camera is following her in a steady medium shot with a 35mm lens as she is rolling the dough forward with both palms, the wooden pin is thumping softly against the work surface, and a low ventilation hum is filling the room. She is lifting the flattened round, laying it into a metal tray, then she is brushing the edge with egg wash while the bristles are making a faint scratch and a timer is clicking in the background. Meanwhile she is glancing toward the oven light, nudging the tray into place, and closing the door with a muted clang before she is stepping back, wiping her hands on the apron, and checking the rise through the glass."
"Cinematic_Scene","Style: film noir with high contrast, In a locked-off medium-wide shot on a 50mm lens, a man in a dark coat is standing under a streetlamp beside a parked sedan, rain is ticking softly on the roof while distant traffic is hissing along the wet road. He is opening his pocket watch, then is glancing toward a second-floor window where a curtain is shifting slightly. His breath is showing in the cold air as a train horn is carrying faintly through the night. A woman is stepping into frame from the alley, her heels are clicking against the pavement, and she is stopping just outside the pool of light. She is keeping her hands in her coat pockets while the man is lowering the watch and speaking in a low, rough voice, ""You're late."" She is tilting her head, a slight smile is forming, and somewhere behind them a metal gate is rattling once in the wind."
"Human_Action","Style: warm documentary, In a steady medium tracking shot with a 35mm lens, a man in work clothes is tending a small backyard garden in late golden hour light, stepping carefully between raised beds as dry leaves are rustling around his boots. He is lowering himself beside a row of winter greens, loosening the soil with a hand trowel while the soft scrape of metal and the faint creak of the wooden planter are mixing with distant birds. Then he is reaching for a watering can, rising in one smooth motion, and tipping it slowly so a thin stream is pattering onto the dark earth. His shoulders are settling as he shifts to the next bed, his slight smile staying in place while the camera is following at chest height and the low sun is warming his face and the pale boards behind him."
"Human_CloseUp","Style: warm documentary, In a medium close-up at eye level with a 50mm lens, a young woman with tied-back hair is standing in a narrow hallway under soft overhead light, the background fading into shallow blur. She is holding a phone loosely at her side while a low vent is humming and footsteps from another room are passing faintly through the walls. As she is listening, her chin is lifting a fraction and her fingers are tightening around the phone, then she is reaching up to tuck a loose strand behind her ear. The fabric of her sleeve is brushing softly as she is leaning closer to the doorframe, and her eyes are narrowing slightly before settling on a point just off camera. Meanwhile the hallway remains still, with only the quiet buzz of the light above and the small sound of her breath as her lips are pressing together and then easing apart again."
"Music_Performance","Style: minimalist electronic performance, A vocalist is standing beside a waist-high synthesizer on a bare stage, one hand is tapping pads while the other is gripping a handheld microphone, and her shoulders are moving in time with a tight electronic beat. The camera is holding a medium shot on a 50mm lens as soft overhead light is shaping her face and a single white backlight is outlining the cables and stand behind her. She is singing in a close, breathy voice, ""stay with me,"" while the synth pulses are rising under her words and a dry kick drum is thumping through the room. Then she is leaning over the keys, her fingers are turning a knob in small precise motions as the tone is opening up, and the crowd just beyond the frame is answering with scattered claps and low cheers while her foot is marking the rhythm on the floor."
"Cinematic_Scene","Style: cinematic-realistic, A young woman is sitting in the driver's seat of a parked car on a quiet roadside, moonlight is falling across her face through the side window while soft dashboard light is outlining her hands around a switched-off phone. In a close 85mm portrait, her thumb is rubbing the cracked edge of the case as insects are humming outside and a truck is passing far off with a low rush of tires. She is glancing toward a farmhouse in the distance, then a man is appearing on the porch and is pausing under a weak exterior light, the screen door is creaking faintly in the still air. She is opening the car door without taking her eyes off him, the latch is clicking sharply, and as she is stepping onto the gravel he is calling in a rough, tired voice, ""You shouldn't be here,"" while the camera is holding steady on her face."
"Human_CloseUp","Style: warm documentary, A young woman is standing by a bathroom mirror at twilight, dim ambient light from a small wall fixture is mixing with cool evening light from a frosted window. The camera is framing a close-up from just below eye level with a 50mm lens, shallow focus isolating her face while the tiles behind her are falling soft. Water is dripping steadily from a tap as she is tucking a loose strand of hair behind her ear and studying her reflection. She is leaning closer, her fingertips are resting against the edge of the sink, then a muted siren is passing somewhere outside while her eyes are blinking more slowly and her mouth is parting as if to speak. She is drawing a careful breath, and in a low, unsteady voice she says, ""It's fine,"" then she is giving a slight nod that does not fully settle before looking down toward her hands."
"Human_Action","Style: cinematic-realistic, In a steady medium dolly shot with a 35mm lens, a woman is working at a pottery wheel in a small evening studio, her face lit by a single warm overhead light and soft shadows falling across her apron. The wheel is humming as she is pressing both hands around a spinning lump of clay, elbows tucked close, her brow tightening slightly while water is dripping between her fingers. She is leaning in, guiding the walls higher with slow even pressure, then easing one hand inside the form as the wet clay is whispering under her touch. A radio is murmuring faintly from another room while shelves and tools are sitting quietly in the dim background. She is lifting her hands away, checking the shape, then reaching for a wire cutter as the wheel is slowing to a gentle whir."
"Human_Dialogue","Style: cinematic-realistic, Two coworkers are standing on a quiet rooftop at twilight, the last warm light is catching the edges of their jackets and the low city skyline behind them. The camera is holding a medium two-shot at eye level, 50mm lens with shallow depth of field. A distant train is rumbling as the woman with a loose ponytail is resting one hand on the railing, then turning her shoulders toward the man and speaking in a low, steady voice, ""We are ready."" He is adjusting his sleeve, glancing down for a beat, while a light breeze is moving his shirt collar and soft traffic noise is drifting up from below. He is lifting his chin, giving a small nod, then answering in a calm voice, ""Let's do it."""
"Cinematic_Scene","Style: film noir with high contrast, A tired woman in a dark coat is standing under a station canopy at dusk, one gloved hand is tightening around a small suitcase as a train is idling beyond her in a haze of steam. The camera is holding a medium shot on a 50mm lens, then is moving in a slow lateral dolly as distant wheels are squealing on wet tracks and a loose sign chain is tapping softly in the wind. She is turning when a man is stepping from the shadows, rain is ticking off the canopy above them, and he speaks in a low, careful voice, ""You kept it."" She is not answering at first, only lifting her chin and drawing a shallow breath while the train bell is ringing once behind them. Meanwhile the camera is settling into a close two-shot as she is extending the suitcase halfway, then stopping, her fingers still resting on the handle."
"Nature_Landscape","Style: moody naturalistic, A broad mountain valley is holding a fast river under pale noon haze while storm clouds are gathering over the ridgeline and wind is pushing through a stand of pines on the bank. Shot in a dramatic wide shot with a 35mm lens, the camera is remaining mostly static as the river is streaming around wet boulders and carrying white foam downstream. As the gusts are moving across the trees, branches are swaying and the dry rustle of needles is blending with the constant rush of water below. Then a curtain of rain is advancing across the far slope, softening the rocky peaks, and a brief roll of thunder is passing through the valley while the light is dimming and small ripples are spreading across calmer pools near the shore."
"Human_Action","Style: warm documentary, A man in a faded work shirt and jeans is kneeling in a small backyard garden, loosening dark soil around a row of tomato plants as early morning light is falling softly across the beds. Shot on a 50mm lens, the camera is moving in a slow tracking arc around him at a steady medium distance. He is leaning forward, pressing a hand trowel into the ground with short firm motions, the metal is scraping lightly against small stones while leaves are brushing his forearm. He is lifting a watering can, then tipping it carefully at the base of each plant as water is pattering into the soil and a nearby fence is creaking in the breeze. Meanwhile, he is wiping his brow with the back of his wrist, shifting to stand, and brushing dirt from his knees before he is checking the next row."
"Nature_Landscape","Style: cinematic-realistic, A mountain valley is taking a summer storm as fast clouds are rolling over the ridge and wind is bending a line of pines beside a swollen river. Shot in an extreme wide shot with a 24mm wide-angle lens, the camera is remaining steady while rain is sweeping across the far slope, then is reaching the foreground in visible streaks. The river is churning around exposed boulders, its constant rush blending with the hiss of rain in the grass and the creak of tree trunks under the gusts. As the storm is moving through, sunlight is breaking sharply through a gap in the clouds, catching the pale spray above the rapids, while distant thunder is rumbling behind the peaks and loose branches are skittering over the wet ground."
"Cinematic_Scene","Style: period drama, Noon light is washing a quiet train platform as a young man in a plain suit is waiting near the edge, his hat is turning slowly in his hands. In a restrained wide shot with an 85mm lens, heat is wavering above the tracks while a station clock is ticking faintly under the murmur of pigeons and the distant rumble of an approaching train. A woman is stepping from the shade into the sun, her small case is brushing against her skirt, and he is taking one step forward, then stopping. As the camera is gliding in a gentle lateral dolly beside them, the train whistle is rising and her breath is catching before she speaks in a quiet, careful voice, ""I nearly missed it."" He is reaching for the case instead of her hand, their shoulders are holding a narrow space between them, and the rails are beginning to sing as the engine is nearing the platform."
"Human_Dialogue","Style: warm documentary, In an elegant dressing room with muted gold walls and a wide mirror, a man is standing near a chaise lounge while a woman is adjusting an earring beside the vanity under soft diffused light. The camera is framing them in an over-the-shoulder medium shot with a 50mm lens as the gentle hum of ventilation is blending with the faint creak of floorboards. He is smoothing the cuff of his jacket, then shifting his weight as he speaks in a careful, quiet tone, ""You could stay."" She is pausing with her hand near her neck, meeting his reflection for a moment while a drawer is settling shut with a soft thud. She is lowering her gaze and answering in a soft, even voice, ""Not tonight,"" then turning slightly away as he is rubbing his thumb against his knuckle and the room is falling still around them."
"Nature_Landscape","Style: cinematic-realistic, A wide coastal cliffline is sitting under hazy noon light as long gray waves are crashing against dark rocks below, sending mist into the air. Shot in a wide frame with a 28mm lens, the camera is making a slow lateral dolly along the cliff edge while sea grass is bending in the wind and low cloud is drifting across the horizon. As the tide is surging into a narrow inlet, the hollow boom of water in the stone passage is mixing with the steady hiss of spray. Meanwhile, gulls are circling briefly above the updraft, their distant calls fading under the deeper pulse of the ocean, and thin shafts of sun are breaking through the haze and sliding across the moving water."
"Human_Dialogue","Style: cinematic-realistic, A young doctor and an older patient are sitting in a quiet clinic office in mid-morning, backlight from a tall window outlining their shoulders while soft overhead light is filling their faces. The camera is holding a medium two-shot at eye level, 50mm lens, with a desk and blurred shelves behind them. Paper is rustling lightly as the doctor is turning a page, then she is looking up and speaking in a calm, even voice, ""We'll adjust it."" The patient is shifting in his chair, one hand is smoothing his sleeve while the faint hum of ventilation is mixing with distant footsteps in the hallway, then he is giving a short nod and replying in a dry, careful voice, ""That helps."" She is resting her pen beside the folder as he is exhaling through his nose and meeting her eyes."
"Stylized","Style: 1940s film noir with high contrast and soft tungsten haze, A man in a dark overcoat is standing under a dim streetlamp in a narrow alley, rainwater is glistening on the pavement and faint mist is drifting past brick walls. The camera is observing him in a medium-wide shot with a 24mm wide-angle lens, smoothly tracking left as he is lifting his collar and glancing toward a shadowed doorway. His shoes are scraping lightly on wet concrete while a distant tram is rattling somewhere beyond the block. He is stepping forward, one hand is reaching into his pocket as a woman in a pale coat is emerging from the doorway and pausing beneath the spill of light. She is speaking in a low, steady voice, ""You are coming late again,"" while a muted saxophone is leaking from an unseen basement window and the rain is tapping softly against metal fire escapes."
"Animal","Style: cinematic-realistic, A green sea turtle is gliding over a shallow reef in clear afternoon water, warm sun patterns are shifting across its shell and the pale sand below. The camera is following from a respectful side angle with a steady tracking shot on a 135mm telephoto lens as faint underwater crackles and the soft wash of current are moving through the scene. The turtle is tilting its flippers in slow, even strokes while small reef fish are keeping their distance, then it is descending toward a patch of seagrass and is tearing off short bites, its beak working methodically as grains of sand are lifting around its mouth. Meanwhile the surface shimmer is drifting above, and the turtle is pushing off the bottom and rising back into open water, its shadow is sliding across the reef beneath it."
"Human_Dialogue","Style: cinematic-realistic, A man is sitting across from a woman at a small meeting table in a real office under soft overhead light, the camera is observing them in an over-the-shoulder medium close-up with a 100mm lens while an air vent is humming above and papers are rustling lightly as she is adjusting them. He is leaning forward with both hands loosely linked, blinking once before he is speaking in a calm, clear voice, ""Your idea works."" She is pausing with her pen above the page, then looking up with a slight smile pulling at one corner of her mouth as a chair creaks nearby and she is replying in a quiet, cautious tone, ""Say that again."" Meanwhile he is letting out a brief breath through his nose and opening one hand toward her, his posture loosening as she is sitting back and holding his gaze."
"Animal","Style: nature documentary, A barn owl is gliding low over a rough grass field at dusk, its pale wings are holding steady as the dim ambient light is flattening the distant hedgerow. The camera is holding a patient medium-wide shot with a 24mm lens from near ground level, letting the owl pass close through the frame while dry stems are rustling softly in the breeze. As it is tilting one wing and dropping lower, faint squeaks from the grass are mixing with the hush of its flight. The owl is hovering for a beat, dark eyes fixed downward, then is plunging feet-first into the field while the grasses are snapping back around it. A muffled scuffle is sounding below, and meanwhile the evening insects are continuing their thin chorus as the owl is lifting off again, wings beating once, a small rodent hanging from its talons."
"Human_CloseUp","Style: desaturated documentary, In a tight close-up with an 85mm lens and shallow depth of field, a man in his early 40s is sitting by a train window under soft gray daylight. His thumb is rubbing the edge of a folded paper just below frame as the low rattle of the carriage and a faint ventilation hum are blending around him. He is looking out for a moment, then his eyes are shifting downward while his jaw is tightening slightly. One corner of his mouth is lifting and fading, and a small crease is forming between his brows as he is drawing a slow breath through his nose. Meanwhile, blurred seats and passing light are moving softly behind him, and his fingers are loosening on the paper as if he is deciding whether to open it."
"Stylized","Style: cyberpunk neon with painterly reflections and soft grain, A young mechanic is sitting inside a narrow transit car, blue and pink light is sliding across her face from the wet city outside. The camera is framing her in a close three-quarter profile on a 50mm lens as overhead fixtures are flickering softly and the train is humming beneath her boots. She is tightening a loose wire on a small handheld device, then is pausing as an announcement is crackling faintly through the carriage. Outside the window elevated tracks are passing rows of stacked apartments and steaming vents, while distant sirens are blending with the steady clatter of wheels. She is looking up as a courier is entering at the next stop, water is dripping from his sleeve onto the metal floor. He speaks in a quiet, breath-worn voice, ""Is it running yet?"" She is turning the device in her palm, a small indicator is glowing pale green as the train is pulling deeper into the misty district."
"Stylized","Style: 1940s film noir with high contrast black-and-white, A private detective is standing under a flickering streetlamp in a wet alley, rain is stippling his trench coat as he is turning a folded photograph between two fingers. The camera is holding a medium close-up with a slow steady push-in, 40mm anamorphic lens, while water is glistening on brick walls and hard backlight is carving deep shadows around his hat brim. He is lifting his gaze toward a woman in the distance as her heels are tapping softly on the pavement, the sound mixing with the low hiss of rain and the faint hum of a passing tram. She is stopping beneath a fire escape, one gloved hand is adjusting her collar, then she speaks in a low, even voice, ""You came alone."" He is slipping the photograph into his pocket while a neon reflection is trembling in a puddle between them and distant saxophone notes are drifting from an unseen basement bar."
"Cinematic_Scene","Style: film noir with high contrast, A man in a dark overcoat is standing under pale moonlight at the edge of a narrow alley, one hand is resting on a damp brick wall while the other is holding a folded photograph near his chest. In a tight 85mm portrait shot, his eyes are shifting toward a woman who is stepping out of shadow at the far end, her heels are clicking softly on wet pavement as distant traffic is murmuring beyond the street. He is drawing a slow breath, then she is stopping beneath a weak overhead lamp and speaks in a low, steady voice, ""You came alone."" Water is dripping from a fire escape, blending with the faint buzz above them, while he is unfolding the photograph just enough for her to see and his jaw is tightening as the camera is holding on the space between them."
"Urban_Architecture","Style: warm documentary, Under an elevated rail bridge in a mixed residential district, morning market stalls are opening along a broad sidewalk beside brick apartment blocks and a concrete station entrance. The camera is beginning in a medium-wide street-level shot, then tilting up to trace the steel beams and rivets overhead as a train is passing above and the rolling clatter is echoing down the block. A tram is gliding through the intersection, its bell sounding lightly while pedestrians are weaving around stacked crates and a man is adjusting a canvas awning. Reflections are shifting across shop windows and the side of a parked car as the sun is reaching into the street between buildings. Meanwhile, a woman is guiding a stroller past a bike rack, two teenagers are waiting near the crossing, and the regular pulse of footsteps is blending with low engine noise and the rattle fading toward the next station."
